time,rpm,duty_cycle,v_in,c_in,c_motor,temp_motor,time_ms,amp_hours,amp_hours_charged,motor_wattage,v_out
1741632636.3944228,0.0,0.0,45.2,0.0,-1.28,-81.2,14613580.0,0.0,0.0,-0.0,0.0
1741632636.445585,0.0,0.0,45.2,0.0,-1.26,-81.4,14482661.0,0.0,0.0,-0.0,0.0
1741632636.593961,0.0,0.0,45.1,0.0,-1.29,-80.7,14482617.0,0.0,0.0,-0.0,0.0
1741632636.6439893,0.0,0.0,45.2,0.0,-1.23,-80.3,14482617.0,0.0,0.0,-0.0,0.0
1741632636.6947904,0.0,0.0,45.2,0.0,-1.37,-80.5,14482634.0,0.0,0.0,-0.0,0.0
1741632636.744234,0.0,0.0,45.1,0.0,-1.42,-81.2,14482694.0,0.0,0.0,-0.0,0.0
1741632636.793946,0.0,0.0,45.2,0.0,-1.44,-82.0,14548153.0,0.0,0.0,-0.0,0.0
1741632636.844357,0.0,0.0,45.1,0.0,-1.35,-82.1,14548134.0,0.0,0.0,-0.0,0.0
1741632636.8943667,0.0,0.0,45.1,0.0,-1.4,-82.6,14679116.0,0.0,0.0,-0.0,0.0
1741632636.944995,0.0,0.0,45.1,0.0,-1.35,-82.2,14548153.0,0.0,0.0,-0.0,0.0
1741632636.9942539,0.0,0.0,45.0,0.0,-1.22,-81.4,14548153.0,0.0,0.0,-0.0,0.0
1741632637.0443494,0.0,0.0,45.2,0.0,-1.28,-80.5,14548153.0,0.0,0.0,-0.0,0.0
1741632637.094497,0.0,0.0,45.0,0.0,-1.37,-80.8,14613689.0,0.0,0.0,-0.0,0.0
1741632637.1445768,0.0,0.0,45.3,0.0,-1.31,-80.9,14482634.0,0.0,0.0,-0.0,0.0
1741632637.1944575,0.0,0.0,45.0,0.0,-1.22,-80.0,14548170.0,0.0,0.0,-0.0,0.0
1741632637.244544,0.0,0.0,45.2,0.0,-1.33,-79.8,14482634.0,0.0,0.0,-0.0,0.0
1741632637.294411,0.0,0.0,45.2,0.0,-1.26,-80.0,14482634.0,0.0,0.0,-0.0,0.0
1741632637.3445742,0.0,0.0,45.1,0.0,-1.33,-80.3,14482634.0,0.0,0.0,-0.0,0.0
1741632637.3940141,0.0,0.0,45.1,0.0,-1.41,-81.1,14482634.0,0.0,0.0,-0.0,0.0
1741632637.4448652,0.0,0.0,45.0,0.0,-1.29,-81.1,14548170.0,0.0,0.0,-0.0,0.0
1741632637.49421,0.0,0.0,45.0,0.0,-1.26,-80.0,14613706.0,0.0,0.0,-0.0,0.0
1741632637.544345,0.0,0.0,45.1,0.0,-1.26,-80.8,14482673.0,0.0,0.0,-0.0,0.0
1741632637.5938902,0.0,0.0,45.1,0.0,-1.24,-80.9,14548170.0,0.0,0.0,-0.0,0.0
1741632637.644263,0.0,0.0,45.1,0.0,-1.27,-80.9,14482617.0,0.0,0.0,-0.0,0.0
1741632637.6955774,0.0,0.0,45.1,0.0,-1.19,-81.3,14480725.0,0.0,0.0,-0.0,0.0
1741632637.7446713,0.0,0.0,45.0,0.0,-1.27,-81.9,14613706.0,0.0,0.0,-0.0,0.0
1741632637.795189,0.0,0.0,45.1,0.0,-1.21,-82.1,14679155.0,0.0,0.0,-0.0,0.0
1741632637.8447466,0.0,0.0,45.1,0.0,-1.3,-81.9,14415189.0,0.0,0.0,-0.0,0.0
1741632637.894672,0.0,0.0,45.0,0.0,-1.21,-81.1,14679256.0,0.0,0.0,-0.0,0.0
1741632637.9501102,0.0,0.0,45.0,0.0,-1.16,-81.2,14613619.0,0.0,0.0,-0.0,0.0
1741632638.0444267,0.0,0.0,45.0,0.0,-1.15,-81.2,14613580.0,0.0,0.0,-0.0,0.0
